Experiment,Location,Temperature,Depth,Bottle,Timepoint,Treatment,Target_DOC_Amendment,Inoculum_L,Media_L,Datetime,TOC_Sample,Parallel_Sample,Cell_Sample,DNA_Sample,hours,days,cells,ln_cells,diff_ln_cells,exp_start,exp_end,ln_cells_exp_start,ln_cells_exp_end,cells_exp_start,cells_exp_end,days_exp_start,days_exp_end,mew,doubling,delta_cells,bc,delta_bc,ave_bc,sd_bc,ave_mew,sd_mew,ave_doubling,sd_doubling,ave_delta_cells,sd_delta_cells,ave_delta_bc,sd_delta_bc,ave_lag,sd_lag
144L_2018,Campus Point,20,1,D,1,Ash Leachate,10,1.5,3.5,2018-10-16T08:00:00Z,FALSE,FALSE,TRUE,FALSE,15.5,0.6458333333333334,1143848387.7767,20.857664192954164,1.1061163666571545,1,2,20.857664192954164,20.973502882130806,1143848387.7767,1284329824.80722,0.6458333333333334,1.1458333333333333,0.23167737835328245,2.9918638819495458,905897496.277251,2.85962096944175,2.2647437406931274,2.67525644327061,0.26073081333171555,0.32666228232225347,0.09773865984345358,2.3178835667603184,0.6935200228131282,899774217.8588086,6300801.511179153,2.249435544647022,0.015752003777947853,0.6458333333333334,0
144L_2018,Campus Point,20,1,D,2,Ash Leachate,10,1.5,3.5,2018-10-16T20:00:00Z,FALSE,FALSE,TRUE,FALSE,27.5,1.1458333333333333,1284329824.80722,20.973502882130806,0.1158386891766412,1,2,20.857664192954164,20.973502882130806,1143848387.7767,1284329824.80722,0.6458333333333334,1.1458333333333333,0.23167737835328245,2.9918638819495458,905897496.277251,3.21082456201805,2.2647437406931274,3.1431575900423128,0.09569554949280774,0.32666228232225347,0.09773865984345358,2.3178835667603184,0.6935200228131282,899774217.8588086,6300801.511179153,2.249435544647022,0.015752003777947853,0.6458333333333334,0
144L_2018,Campus Point,20,1,D,3,Ash Leachate,10,1.5,3.5,2018-10-17T08:00:00Z,FALSE,FALSE,TRUE,FALSE,39.5,1.6458333333333333,1491056044.1350799,21.122750460309028,0.14924757817822254,1,2,20.857664192954164,20.973502882130806,1143848387.7767,1284329824.80722,0.6458333333333334,1.1458333333333333,0.23167737835328245,2.9918638819495458,905897496.277251,3.7276401103377,2.2647437406931274,3.4919174971693128,0.33336211650075986,0.32666228232225347,0.09773865984345358,2.3178835667603184,0.6935200228131282,899774217.8588086,6300801.511179153,2.249435544647022,0.015752003777947853,0.6458333333333334,0
144L_2018,Campus Point,20,1,D,4,Ash Leachate,10,1.5,3.5,2018-10-17T20:00:00Z,TRUE,TRUE,TRUE,TRUE,51.5,2.1458333333333335,1282878158.0936,20.972371951658467,-0.15037850865056157,1,2,20.857664192954164,20.973502882130806,1143848387.7767,1284329824.80722,0.6458333333333334,1.1458333333333333,0.23167737835328245,2.9918638819495458,905897496.277251,3.207195395234,2.2647437406931274,3.318251927461688,0.15705765406652042,0.32666228232225347,0.09773865984345358,2.3178835667603184,0.6935200228131282,899774217.8588086,6300801.511179153,2.249435544647022,0.015752003777947853,0.6458333333333334,0
144L_2018,Campus Point,20,1,D,5,Ash Leachate,10,1.5,3.5,2018-10-18T08:00:00Z,FALSE,FALSE,TRUE,FALSE,63.5,2.6458333333333335,1382528670.09801,21.047180029010484,0.07480807735201722,1,2,20.857664192954164,20.973502882130806,1143848387.7767,1284329824.80722,0.6458333333333334,1.1458333333333333,0.23167737835328245,2.9918638819495458,905897496.277251,3.456321675245025,2.2647437406931274,3.4465598240299253,0.013805342382262515,0.32666228232225347,0.09773865984345358,2.3178835667603184,0.6935200228131282,899774217.8588086,6300801.511179153,2.249435544647022,0.015752003777947853,0.6458333333333334,0
144L_2018,Campus Point,20,1,D,6,Ash Leachate,10,1.5,3.5,2018-10-18T20:00:00Z,FALSE,FALSE,TRUE,FALSE,75.5,3.1458333333333335,1243556811.29429,20.941241506769913,-0.10593852224057088,1,2,20.857664192954164,20.973502882130806,1143848387.7767,1284329824.80722,0.6458333333333334,1.1458333333333333,0.23167737835328245,2.9918638819495458,905897496.277251,3.1088920282357253,2.2647437406931274,2.9079531566170873,0.28417047745102375,0.32666228232225347,0.09773865984345358,2.3178835667603184,0.6935200228131282,899774217.8588086,6300801.511179153,2.249435544647022,0.015752003777947853,0.6458333333333334,0
144L_2018,Campus Point,20,1,D,7,Ash Leachate,10,1.5,3.5,2018-10-19T08:00:00Z,FALSE,FALSE,TRUE,FALSE,87.5,3.6458333333333335,635058662.442888,20.269227934389853,-0.6720135723800595,1,2,20.857664192954164,20.973502882130806,1143848387.7767,1284329824.80722,0.6458333333333334,1.1458333333333333,0.23167737835328245,2.9918638819495458,905897496.277251,1.58764665610722,2.2647437406931274,1.6696147350306825,0.11592036889522887,0.32666228232225347,0.09773865984345358,2.3178835667603184,0.6935200228131282,899774217.8588086,6300801.511179153,2.249435544647022,0.015752003777947853,0.6458333333333334,0
144L_2018,Campus Point,20,1,D,8,Ash Leachate,10,1.5,3.5,2018-10-19T20:00:00Z,TRUE,TRUE,TRUE,TRUE,99.5,4.145833333333333,303070345.40015197,19.529475499564782,-0.7397524348250712,1,2,20.857664192954164,20.973502882130806,1143848387.7767,1284329824.80722,0.6458333333333334,1.1458333333333333,0.23167737835328245,2.9918638819495458,905897496.277251,0.75767586350038,2.2647437406931274,0.7159128068560375,0.05906188111258487,0.32666228232225347,0.09773865984345358,2.3178835667603184,0.6935200228131282,899774217.8588086,6300801.511179153,2.249435544647022,0.015752003777947853,0.6458333333333334,0
144L_2018,Campus Point,20,1,E,0,Mud Leachate,10,1.5,3.5,2018-10-15T16:30:00Z,TRUE,TRUE,TRUE,TRUE,0,0,340956946.19767404,19.647266769791816,0,1,2,20.27014207041637,20.54034286029248,635639457.867743,832832300.7972469,0.6458333333333334,1.1458333333333333,0.5404015797522207,1.282652024958476,491875354.5995729,0.8523923654941851,1.2296883864989323,0.8483500325338138,0.0057167220961848245,0.6309998493075356,0.09322485027057685,1.1216121734605469,0.16570864010072756,528491341.8965764,37677540.09019307,1.3212283547414412,0.09419385022548266,0.6458333333333334,0
144L_2018,Campus Point,20,1,E,1,Mud Leachate,10,1.5,3.5,2018-10-16T08:00:00Z,FALSE,FALSE,TRUE,FALSE,15.5,0.6458333333333334,635639457.867743,20.27014207041637,0.6228753006245533,1,2,20.27014207041637,20.54034286029248,635639457.867743,832832300.7972469,0.6458333333333334,1.1458333333333333,0.5404015797522207,1.282652024958476,491875354.5995729,1.5890986446693576,1.2296883864989323,1.5812746843272676,0.011064750827252898,0.6309998493075356,0.09322485027057685,1.1216121734605469,0.16570864010072756,528491341.8965764,37677540.09019307,1.3212283547414412,0.09419385022548266,0.6458333333333334,0
